"area_name","area_code","date","new_cases","total_cases"
"Enfield","E09000010",2020-06-22,1,1158
"Greenwich","E09000011",2020-06-22,4,941
"Hackney and City of London","E09000012",2020-06-22,1,794
"Hammersmith and Fulham","E09000013",2020-06-22,3,732
"Haringey","E09000014",2020-06-22,2,735
"Harrow","E09000015",2020-06-22,2,1263
"Havering","E09000016",2020-06-22,1,914
"Hillingdon","E09000017",2020-06-22,5,1057
"Hounslow","E09000018",2020-06-22,2,1029
"Islington","E09000019",2020-06-22,0,540
"Kensington and Chelsea","E09000020",2020-06-22,2,552
"Kingston upon Thames","E09000021",2020-06-22,0,728
"Lambeth","E09000022",2020-06-22,0,1346
"Lewisham","E09000023",2020-06-22,1,1183
"Merton","E09000024",2020-06-22,7,924
"Newham","E09000025",2020-06-22,1,1243
"Redbridge","E09000026",2020-06-22,1,1085
"Richmond upon Thames","E09000027",2020-06-22,4,528
"Southwark","E09000028",2020-06-22,1,1422
"Sutton","E09000029",2020-06-22,1,994
"Tower Hamlets","E09000030",2020-06-22,0,787
"Waltham Forest","E09000031",2020-06-22,2,991
"Wandsworth","E09000032",2020-06-22,3,1132
"Westminster","E09000033",2020-06-22,0,765
"Barking and Dagenham","E09000002",2020-06-23,1,692
"Barnet","E09000003",2020-06-23,0,1575
"Bexley","E09000004",2020-06-23,2,1036
"Brent","E09000005",2020-06-23,2,1715
"Bromley","E09000006",2020-06-23,0,1505
"Camden","E09000007",2020-06-23,0,696
"Croydon","E09000008",2020-06-23,1,1834
"Ealing","E09000009",2020-06-23,6,1527
"Enfield","E09000010",2020-06-23,3,1161
"Greenwich","E09000011",2020-06-23,2,943
"Hackney and City of London","E09000012",2020-06-23,0,794
"Hammersmith and Fulham","E09000013",2020-06-23,3,735
"Haringey","E09000014",2020-06-23,1,736
"Harrow","E09000015",2020-06-23,0,1263
"Havering","E09000016",2020-06-23,6,920
"Hillingdon","E09000017",2020-06-23,5,1062
"Hounslow","E09000018",2020-06-23,3,1032
"Islington","E09000019",2020-06-23,0,540
"Kensington and Chelsea","E09000020",2020-06-23,2,554
"Kingston upon Thames","E09000021",2020-06-23,0,728
"Lambeth","E09000022",2020-06-23,0,1346
"Lewisham","E09000023",2020-06-23,2,1185
"Merton","E09000024",2020-06-23,0,924
"Newham","E09000025",2020-06-23,0,1243
"Redbridge","E09000026",2020-06-23,1,1086
"Richmond upon Thames","E09000027",2020-06-23,0,528
"Southwark","E09000028",2020-06-23,0,1422
"Sutton","E09000029",2020-06-23,1,995
"Tower Hamlets","E09000030",2020-06-23,1,788
"Waltham Forest","E09000031",2020-06-23,2,993
"Wandsworth","E09000032",2020-06-23,3,1135
"Westminster","E09000033",2020-06-23,2,767
"Barking and Dagenham","E09000002",2020-06-24,4,696
"Barnet","E09000003",2020-06-24,0,1575
"Bexley","E09000004",2020-06-24,0,1036
"Brent","E09000005",2020-06-24,2,1717
"Bromley","E09000006",2020-06-24,0,1505
"Camden","E09000007",2020-06-24,0,696
"Croydon","E09000008",2020-06-24,4,1838
"Ealing","E09000009",2020-06-24,6,1533
"Enfield","E09000010",2020-06-24,1,1162
"Greenwich","E09000011",2020-06-24,0,943
"Hackney and City of London","E09000012",2020-06-24,1,795
"Hammersmith and Fulham","E09000013",2020-06-24,4,739
"Haringey","E09000014",2020-06-24,3,739
"Harrow","E09000015",2020-06-24,1,1264
"Havering","E09000016",2020-06-24,3,923
"Hillingdon","E09000017",2020-06-24,3,1065
"Hounslow","E09000018",2020-06-24,4,1036
"Islington","E09000019",2020-06-24,1,541
"Kensington and Chelsea","E09000020",2020-06-24,3,557
"Kingston upon Thames","E09000021",2020-06-24,1,729
"Lambeth","E09000022",2020-06-24,0,1346
"Lewisham","E09000023",2020-06-24,0,1185
"Merton","E09000024",2020-06-24,1,925
"Newham","E09000025",2020-06-24,0,1243
"Redbridge","E09000026",2020-06-24,0,1086
"Richmond upon Thames","E09000027",2020-06-24,0,528
"Southwark","E09000028",2020-06-24,1,1423
"Sutton","E09000029",2020-06-24,1,996
"Tower Hamlets","E09000030",2020-06-24,0,788
"Waltham Forest","E09000031",2020-06-24,0,993
"Wandsworth","E09000032",2020-06-24,0,1135
"Westminster","E09000033",2020-06-24,2,769
"Barking and Dagenham","E09000002",2020-06-25,2,698
"Barnet","E09000003",2020-06-25,2,1577
"Bexley","E09000004",2020-06-25,3,1039
"Brent","E09000005",2020-06-25,5,1722
"Bromley","E09000006",2020-06-25,0,1505
"Camden","E09000007",2020-06-25,1,697
"Croydon","E09000008",2020-06-25,2,1840
"Ealing","E09000009",2020-06-25,3,1536
"Enfield","E09000010",2020-06-25,4,1166
"Greenwich","E09000011",2020-06-25,1,944
"Hackney and City of London","E09000012",2020-06-25,0,795
"Hammersmith and Fulham","E09000013",2020-06-25,4,743
"Haringey","E09000014",2020-06-25,1,740
"Harrow","E09000015",2020-06-25,1,1265
"Havering","E09000016",2020-06-25,1,924
"Hillingdon","E09000017",2020-06-25,1,1066
